pdb_id,chain_id
8te9-assembly1,A
8tfo-assembly1,A
8tfs-assembly1,A
8hic-assembly1,A
8ti5-assembly1,A
8tjg-assembly1,A
8tru-assembly1,A
8tse-assembly1,A
8tuk-assembly1,A
8tw1-assembly1,A
8tyh-assembly1,A
8u0i-assembly1,A
8u0x-assembly1,A
8u2f-assembly1,A
8ubs-assembly1,A
8uds-assembly1,A
8tls-assembly1,A
8ujw-assembly1,A
8uk7-assembly1,A
8upi-assembly1,A
8ux2-assembly1,A
8uxt-assembly1,A
8v3m-assembly1,A
8v6t-assembly1,A
8vc8-assembly1,A
8vcw-assembly1,A
8vh7-assembly1,A
8vpo-assembly1,A
8vqk-assembly1,A
8w6v-assembly1,A
8w7p-assembly1,A
8wac-assembly1,A
8wae-assembly1,A
8wc1-assembly1,A
8wcf-assembly1,A
8whj-assembly1,A
8whn-assembly1,A
8wik-assembly1,A
8wj5-assembly1,A
8kbl-assembly1,A
8wnj-assembly1,A
8wrx-assembly1,A
8wt3-assembly1,A
8wim-assembly1,A
8x7c-assembly1,A
8xf9-assembly1,A
8xif-assembly1,A
8xjg-assembly1,A
8xpk-assembly1,A
8y9p-assembly1,A
8ye0-assembly1,A
8wqn-assembly1,A
8yxk-assembly1,A
8z4q-assembly1,A
8hel-assembly1,A
8zqf-assembly1,A
9aue-assembly1,A
9azz-assembly1,A
9b1u-assembly1,A
9b8e-assembly1,A
9bks-assembly1,A
9bjx-assembly1,A
9cfj-assembly1,A
9crn-assembly1,A
9d91-assembly1,A
9etn-assembly1,A
9evq-assembly1,A
9fce-assembly1,A
9fgp-assembly1,A
9f9u-assembly1,A
9fow-assembly1,A
9fym-assembly1,A
9gso-assembly1,A
9ijc-assembly1,A
9iuh-assembly1,A
9j0v-assembly1,A
9jq9-assembly1,A
